	location	name	open_time	tele
99	Shop 217 L2 Phase I	IPSA	11:00-22:00 (Mon-Thu,Sun & PH) 11:00-22:30 (Fri-Sat)	26996886
100	Shop 510-512 L5 Phase I	izzue	11:00-22:00 (Sun-Thu & PH) 11:00-23:00 (Fri&Sat)	26983217
101	Shop 415 L4 Phase I	Jack Wills	11:00-22:00	35802858
102	Shop 482 L4 Phase I	Jessica	11:00-22:00	26964122
103	Shop A318 L3 Phase III	Jill Scott	Mon - Thu & Sun 11:00 - 2130 ; Fri - Sat 11:00 - 22:00	26030971
104	Shop A370 L3 Phase III	JIPI JAPA	11:00 - 22:00	26997917
105	Shop 203 L2 Phase I	Jo Malone London	10:00-22:00	21132728
106	Shop 476 L4 Phase I	Joy & Peace	11:00-22:00 (Mon-Thu) 10:30-22:00 (Fri-Sun & PH)	26790277
107	Shop 216 L2 Phase I	JOYCE Beauty	10:00-22:00	34223910
108	Shop 386 L3 Phase I	Juicy Couture	11:00-22:00	26092898
109	Shop A379 L3 Phase III	Jurlique	11:00 - 22:00	26989600
110	Shop A336 L3 Phase III	Just Gold	11:00 - 21:30	25390198
111	Shop 325 L3 Phase I	kate spade new york	11:00-22:00	31884220
112	Shop 382 L3 Phase I	KENZO	10:00-22:00	21551168
113	Shop 220 L2 Phase I	KERASTASE HAIR SPA by LA VIE	11:00-22:00 (Mon-Fri) 10:00-22:00 (Sat-Sun & PH)	26922081
114	Shop 405 L4 Phase I	Kiehl's Since 1851	10:00-22:00 (Mon-Thu,Sun & PH) 10:00-22:30 (Fri-Sat)	34273884
115	Shop A377 L3 Phase III	kipling	11:00 - 22:00	26062285
116	Shop 308 L3 Phase I	L'OCCITANE	11:00-22:00	26963788
117	Shop 479A L4 Phase I	L'Oreal Paris	11:00-22:00	25061883
118	Shop 422 L4 Phase I	La Mer	10:00-22:00	21105855
119	Shop 425 L4 Phase I	la prairie	10:00-22:00	24877011
120	Shop 378 L3 Phase I	Lancôme	10:00-22:00 (Mon-Thu) 10:00-22:30 (Fri-Sun & PH)	26987822
121	Shop A378 L3 Phase III	laura mercier	10:30 - 22:00	26871028
122	Shop 640 L6 Phase I	LE CREUSET	10:30-22:00	26400082
123	Shop 481 L4 Phase I	le saunda	11:00-22:00 (Mon-Thu) 10:30-22:30 (Fri-Sun & PH)	26050008
124	Shop 622 L6 Phase I	Lenovo	11:00-22:00	34223302
125	Shop A384 L3 Phase III	LensCrafters	Mon-Sun: 10:00-22:00	39710618
126	Shop 530 L5 Phase I	Levi's Store	11:00-22:00	26977016
127	Shop 473 L4 Phase I	Links of London	11:00-22:00	24889020
128	Shop 381 L3 Phase I	LONGCHAMP	11:00-22:00	26233885
129	Shop 315&317 L3 Phase I	LUKFOOK JEWELLERY	10:00-22:00	26062366
130	Shop 469 L4 Phase I	lululemon	10:00-22:00	22346433
131	Shop 221 L2 Phase I	LUSH	10:00-22:00	26021266
132	Shop 309 L3 Phase I	Ma Belle	11:30-21:30	26972525
133	Shop 477 L4 Phase I	mademoiselle	11:00-22:00	26061797
134	Shop A382a L3 Phase III	Make Up For Ever	10:30 - 22:00	34269623
135	Shop 307-307A L3 Phase I	Mannings	09:00-22:30	26034318
136	Shop A311 L3 Phase III	Mannings Baby	10:30 - 21:30	24531566
137	Shop 519-521 L5 Phase I	Marathon Sports	11:00-22:00	26991289
138	Shop 328 L3 Phase I	MARC JACOBS	10:00-22:00	28113107
139	Shop 366 L3 Phase I	Marks & Spencer	10:30-22:30	28960708
140	Shop 302A L3 Phase I	MAX&Co.	11:00-22:00 (Mon-Fri) 10:00-22:00 (Sat-Sun & PH)	27229612
141	Shop 329 L3 Phase I	MCM	10:30-22:00	31881539
142	Shop 418 L4 Phase I	Melissa At Mdreams	11:00-22:00	34682013
143	Shop 480 L4 Phase I	mi-tu moda	11:00-22:00	27579000
144	Shop 397 L3 Phase I	MICHAEL KORS	10:00-22:00	24111251
145	Shop 534 L5 Phase I	Mirabell	11:00-22:30	26873768
146	Shop 249 L2 Phase I	MUJI	11:00-22:00 (Sun-Thu & PH) 11:00-22:30 (Fri,Sat & Before PH)	39713130
147	Shop A306 L3 Phase III	Mushroom	11:00 - 22:00	22657113
148	Shop A397 L3 Phase III	M·A·C	10:00-22:00	28967288
149	Shop 532 L5 Phase I	NAUTICA	11:00-22:00	26975605
150	Shop 506 L5 Phase I	New Balance	11:00-22:00	23313683
151	Shop 508 L5 Phase I	NIKE	11:00-22:00 (Sun-Thu) 11:00-22:30 (Fri-Sat & PH)	26917200
152	Shop A305a L3 Phase III	NOP	11:00 - 22:00	25726932
153	Shop 321 L3 Phase I	OMEGA	10:30-22:00	25189860
154	Shop 517 L5 Phase I	Onitsuka Tiger	11:00-22:00 (Sun-Thu & PH) 11:00-22:30 (Fri-Sat)	23370660
155	Shop 610 L6 Phase I	Optical 88	10:00-22:00	26916124
156	Shop A325 L3 Phase III	Origins	10:00 - 22:00	26939075
157	Shop 617 L6 Phase I	OSIM	11:00-22:00	26984611
158	Shop 396 L3 Phase I	PANDORA	10:30-22:00	23216300
159	Shop 516 L5 Phase I	Patagonia	11:00-22:00	31888138
160	Shop 322 L3 Phase I	PINKO	10:00-22:00	34228326
161	Shop 475 L4 Phase I	Playlord	11:00-22:00	26931022
162	Shop 383 L3 Phase I	POLO RALPH LAUREN	11:00-22:00	23959232
163	Shop A319 L3 Phase III	Porter International	11:00 - 22:00	31097459
164	Shop 537 L5 Phase I	PUMA	11:00-22:00	24563778
165	Shop 602 L6 Phase I	Quarter by Tic Tac Time	10:00-22:00	26963813
166	Shop A320 L3 Phase III	ROCOCO	11:30-22:30	35800314
167	Shop 308A L3 Phase I	Rolex and Tudor	10:30-22:00	26073121
168	Shop 357 L3 Phase I	Sa Sa	10:00-22:30	26880772
169	Shop A392 L3 Phase III	SABON	10:00-22:00	27223104
170	Shop A373 L3 Phase III	Salad	11:30 - 22:00	26928105
171	Shop 478 L4 Phase I	Salon Beebles hair & nail	10:00-22:00	31880222
172	Shop 540 L5 Phase I	SAMSONITE	11:00-22:00	26810080
173	Shop 601A L6 Phase I	Samsung	11:00-22:00	24060628
174	Shop 302 L3 Phase I	Sandro	10:30-22:00	23524328
175	Shop A398 L3 Phase III	Seiko	Mon - Thu 10:00 - 22:00 ; Fri - Sun & PH 10:00 - 22:30	25032438
176	Shop 373 L3 Phase I	SHISEIDO	10:00-22:00(Sun-Thu) ; 10:00-22:30(Fri-Sat)	2602 6702
177	Shop A383 L3 Phase III	shu uemura	Sun-Thu: 10:00 - 22:00 Fri-Sat, PH: 10:00 -22:30	26963325
178	Shop 487 L4 Phase I	Sinéquanone	11:00-22:00	26061900
179	Shop 535 L5 Phase I	SKECHERS	11:00-22:00	26028983
180	Shop A325a L3 Phase III	SKINFOOD	Sun- Thu: 11:00-22:00, Fri-Sat & PH: 11:00-22:30	26919303
181	Shop 615A L6 Phase I	SmarTone	10:00-22:00 (Mon-Sat) 11:00-22:00 (Sun & PH)	26845678
182	Shop A330 L3 Phase III	smiggle	11:00-21:00	26173078
